     Index       y_measurement           y_fitting        descriptor_1
       242    0.2979000000E-01   -0.2120117193E-01    0.1338085453E+03
       243    0.2548000000E-01    0.1221911783E-01    0.4332552624E+02
       244    0.2532000000E-01    0.8093621487E-02    0.5449500941E+02
       245    0.2718000000E-01    0.1561495487E-01    0.3413154287E+02
       246    0.2673000000E-01    0.8859539093E-02    0.5242134285E+02
       247    0.3220000000E-01    0.1708059846E-01    0.3016341880E+02
       248    0.3571000000E-01   -0.6922192633E-02    0.9514924087E+02
       249    0.3138000000E-01    0.1737067992E-01    0.2937804420E+02
       250    0.3176000000E-01   -0.2305933519E-02    0.8265105296E+02
       251    0.2510000000E-01    0.1329244060E-01    0.4041958242E+02
       252    0.2662000000E-01    0.1610614881E-01    0.3280167080E+02
       253    0.2822000000E-01   -0.1243001158E-01    0.1100612626E+03
       254    0.2517000000E-01    0.1059993042E-01    0.4770935911E+02
       255    0.3061000000E-01    0.1752782357E-01    0.2895258914E+02
       256    0.2970000000E-01    0.3050311416E-02    0.6814940692E+02
       257    0.2989000000E-01    0.1787392839E-01    0.2801553535E+02
       258    0.2687000000E-01    0.9510688128E-02    0.5065840390E+02
       259    0.2614000000E-01    0.1665825239E-01    0.3130689024E+02
       260    0.2482000000E-01    0.1432630831E-01    0.3762046030E+02
       261    0.3663000000E-01    0.1996360802E-01    0.2235787877E+02
       262    0.3679000000E-01   -0.2174064928E-02    0.8229402828E+02
       263    0.3568000000E-01    0.2008007332E-01    0.2204255741E+02
       264    0.3100000000E-01   -0.2730130219E-01    0.1503242071E+03
       265    0.3250000000E-01   -0.2039438899E-03    0.7696006796E+02
       266    0.2924000000E-01    0.1823533470E-01    0.2703705389E+02
       267    0.2511000000E-01    0.1173244231E-01    0.4464316502E+02
       268    0.3480000000E-01    0.2052237933E-01    0.2084504583E+02
       269    0.3013000000E-01    0.1003395047E-01    0.4924170892E+02
       270    0.2576000000E-01    0.1677101631E-01    0.3100159010E+02
       271    0.3401000000E-01    0.2075735844E-01    0.2020885688E+02
       272    0.2712000000E-01    0.9150304587E-02    0.5163411629E+02
       273    0.2461000000E-01    0.1508838897E-01    0.3555718200E+02
       274    0.2869000000E-01    0.1863507181E-01    0.2595479455E+02
       275    0.2829000000E-01   -0.1337349971E-01    0.1126156885E+03
       276    0.2515000000E-01    0.1288107180E-01    0.4153333369E+02
       277    0.3330000000E-01    0.2098707670E-01    0.1958691131E+02
       278    0.4238000000E-01    0.2211810962E-01    0.1652472141E+02
       279    0.3780000000E-01   -0.7024187477E-03    0.7830965261E+02
       280    0.4133000000E-01    0.2246999429E-01    0.1557201909E+02
       281    0.3325000000E-01    0.4773810193E-02    0.6348315855E+02
       282    0.2553000000E-01    0.1740489672E-01    0.2928540469E+02
       283    0.2822000000E-01    0.1939294014E-01    0.2390292082E+02
       284    0.2910000000E-01    0.8423928790E-02    0.5360072626E+02
       285    0.4037000000E-01    0.2264735084E-01    0.1509183906E+02
       286    0.2897000000E-01   -0.1927249204E-01    0.1285867839E+03
       287    0.2450000000E-01    0.1598868490E-01    0.3311969585E+02
       288    0.3268000000E-01    0.2134808975E-01    0.1860949457E+02
       289    0.2741000000E-01    0.1109785778E-01    0.4636125679E+02
       290    0.3951000000E-01    0.2285415010E-01    0.1453194502E+02
       291    0.2784000000E-01    0.1983868728E-01    0.2269609266E+02
       292    0.2528000000E-01    0.1491229123E-01    0.3603395391E+02
       293    0.3874000000E-01    0.2302801333E-01    0.1406122289E+02
       294    0.2533000000E-01    0.1774728088E-01    0.2835842433E+02
       295    0.3215000000E-01    0.2173826414E-01    0.1755312560E+02
       296    0.4934000000E-01    0.2391272788E-01    0.1166592218E+02
       297    0.2726000000E-01    0.1737802193E-02    0.7170293078E+02
       298    0.3888000000E-01    0.3355776886E-02    0.6732238124E+02
       299    0.3413000000E-01    0.9888620070E-02    0.4963518048E+02
       300    0.4820000000E-01    0.2419937692E-01    0.1088984062E+02
       301    0.2448000000E-01    0.1667680337E-01    0.3125666481E+02
       302    0.3807000000E-01    0.2324350940E-01    0.1347778284E+02
       303    0.2966000000E-01    0.9467204241E-02    0.5077613338E+02
       304    0.4718000000E-01    0.2439193094E-01    0.1036851454E+02
       305    0.2755000000E-01    0.2029618168E-01    0.2145745963E+02
       306    0.3172000000E-01    0.2193232106E-01    0.1702773051E+02
       307    0.2781000000E-01    0.1310522686E-01    0.4092645007E+02
       308    0.1093000000E-01   -0.6452244663E-01    0.2510977655E+03
       309    0.1527000000E-01   -0.4075428362E-01    0.1867471820E+03
       310    0.4247000000E-01    0.6837752060E-01   -0.1087192904E+03
       311    0.3712000000E-01    0.6383159638E-01   -0.9641152913E+02
       312    0.3876000000E-01    0.6734231993E-01   -0.1059165594E+03
       313    0.3814000000E-01    0.6098937835E-01   -0.8871642923E+02
       314    0.4211000000E-01    0.6881676243E-01   -0.1099085059E+03
       315    0.3736000000E-01    0.6721422188E-01   -0.1055697432E+03
       316    0.3867000000E-01    0.4251959242E-01   -0.3871081875E+02
       317    0.4942000000E-01    0.7019859215E-01   -0.1136497100E+03
       318    0.3704000000E-01    0.6338472486E-01   -0.9520165680E+02
       319    0.4191000000E-01    0.6947476625E-01   -0.1116900037E+03
       320   -0.2523500000E+00   -0.2711083091E+00    0.8104140572E+03
       321    0.2564000000E-01   -0.1524055480E-02    0.8053417468E+02
       322   -0.2570800000E+00   -0.2640125707E+00    0.7912028582E+03
       323    0.3708000000E-01    0.6583205789E-01   -0.1018276341E+03
       324   -0.2039100000E+00   -0.1346805205E+00    0.4410456798E+03
       325   -0.2146300000E+00   -0.1261400063E+00    0.4179228548E+03
       326   -0.2082600000E+00   -0.1302064217E+00    0.4289323807E+03
       327   -0.2166000000E+00   -0.1215674842E+00    0.4055430819E+03
       328   -0.2035800000E+00   -0.1340302724E+00    0.4392851800E+03
       329   -0.2102800000E+00   -0.1271823638E+00    0.4207449625E+03
       330   -0.2321300000E+00   -0.1184734455E+00    0.3971661956E+03
       331   -0.1941800000E+00   -0.1362027140E+00    0.4451669088E+03
       332   -0.2147100000E+00   -0.1244113593E+00    0.4132426681E+03
       333   -0.2029000000E+00   -0.1320843539E+00    0.4340167464E+03
       334   -0.2382600000E+00   -0.2050999859E+00    0.6317012928E+03
       335    0.3892000000E-01    0.6853529375E-01   -0.1091464498E+03
       336   -0.2121000000E+00   -0.1250267650E+00    0.4149088345E+03
       337   -0.2070300000E+00   -0.1284431513E+00    0.4241584536E+03
       338   -0.2254800000E+00   -0.1152892781E+00    0.3885452924E+03
       339   -0.1950100000E+00   -0.1358802306E+00    0.4442938081E+03
       340   -0.2209100000E+00   -0.1071826490E+00    0.3665971800E+03
       341   -0.1954300000E+00   -0.1349522307E+00    0.4417813154E+03
       342   -0.2128600000E+00   -0.1215891545E+00    0.4056017525E+03
       343   -0.2165500000E+00   -0.1131340025E+00    0.3827100396E+03
       344   -0.2019100000E+00   -0.1305658702E+00    0.4299055615E+03
       345   -0.1954500000E+00   -0.1338826474E+00    0.4388854960E+03
       346   -0.2314500000E+00   -0.1883063144E+00    0.5862336411E+03
       347    0.4061000000E-01    0.4913203850E-01   -0.5661353860E+02
       348   -0.2086300000E+00   -0.1249680514E+00    0.4147498718E+03
       349   -0.2055300000E+00   -0.1269252555E+00    0.4200488602E+03
       350   -0.2143100000E+00   -0.1105320917E+00    0.3756655542E+03
       351   -0.1951100000E+00   -0.1324333955E+00    0.4349617513E+03
       352   -0.2102800000E+00   -0.1231042742E+00    0.4097038296E+03
       353   -0.2006200000E+00   -0.1284521949E+00    0.4241829385E+03
       354   -0.2127900000E+00   -0.1146937861E+00    0.3869330410E+03
       355   -0.1944100000E+00   -0.1306303944E+00    0.4300802562E+03
       356   -0.2289500000E+00   -0.1176462207E+00    0.3949265443E+03
       357   -0.1827200000E+00   -0.1307308649E+00    0.4303522726E+03
       358   -0.2472800000E+00   -0.2229003781E+00    0.6798945682E+03
       359    0.4843000000E-01    0.7030831873E-01   -0.1139467868E+03
       360   -0.2229600000E+00   -0.1104074000E+00    0.3753279604E+03
       361   -0.1836400000E+00   -0.1306062285E+00    0.4300148286E+03
       362   -0.2038000000E+00   -0.1234122724E+00    0.4105377126E+03
       363   -0.2109600000E+00   -0.1150789638E+00    0.3879758817E+03
       364   -0.1934000000E+00   -0.1279912866E+00    0.4229350625E+03
       365   -0.2187800000E+00   -0.1183550930E+00    0.3968457648E+03
       366   -0.1841300000E+00   -0.1300371810E+00    0.4284741738E+03
       367   -0.2068100000E+00   -0.1220370156E+00    0.4068143041E+03
       368   -0.1990700000E+00   -0.1256182767E+00    0.4165103096E+03
       369   -0.2142300000E+00   -0.1077143455E+00    0.3680367099E+03
       370   -0.2316800000E+00   -0.1901564725E+00    0.5912428102E+03
       371    0.4087000000E-01    0.5673473334E-01   -0.7719728537E+02
       372   -0.1842200000E+00   -0.1286251041E+00    0.4246510775E+03
       373   -0.2083900000E+00   -0.1214056723E+00    0.4051049878E+03
       374   -0.2125500000E+00   -0.1209082894E+00    0.4037583595E+03
       375   -0.1920900000E+00   -0.1252488120E+00    0.4155100108E+03
       376   -0.1839400000E+00   -0.1266910214E+00    0.4194146885E+03
       377   -0.2019100000E+00   -0.1202996037E+00    0.4021103869E+03
       378   -0.1972900000E+00   -0.1223829586E+00    0.4077509197E+03
       379   -0.2109100000E+00   -0.1161617816E+00    0.3909075327E+03
       380   -0.1833000000E+00   -0.1249307772E+00    0.4146489544E+03
       381   -0.2048800000E+00   -0.1190082311E+00    0.3986140890E+03
       382   -0.2379700000E+00   -0.1853325232E+00    0.5781823163E+03
       383    0.4766000000E-01    0.7046657289E-01   -0.1143752485E+03
       384   -0.1905300000E+00   -0.1225999169E+00    0.4083383187E+03
       385   -0.2089900000E+00   -0.1182338880E+00    0.3965176109E+03
       386   -0.1823600000E+00   -0.1227931890E+00    0.4088615888E+03
       387   -0.2263400000E+00   -0.1085708825E+00    0.3703557219E+03
       388   -0.1680000000E+00   -0.1207279469E+00    0.4032700951E+03
       389   -0.2206800000E+00   -0.1136280186E+00    0.3840475526E+03
       390   -0.1690200000E+00   -0.1203640903E+00    0.4022849797E+03
       391   -0.2167500000E+00   -0.1144341389E+00    0.3862300648E+03
       392   -0.1696400000E+00   -0.1197514989E+00    0.4006264327E+03
       393   -0.1953600000E+00   -0.1184830168E+00    0.3971921092E+03
       394   -0.2258800000E+00   -0.1641710239E+00    0.5208890863E+03
       395    0.3619000000E-01    0.6522055171E-01   -0.1001720253E+03
       396   -0.2065200000E+00   -0.1180226025E+00    0.3959455708E+03
       397   -0.1811200000E+00   -0.1200161224E+00    0.4013428818E+03
       398   -0.2124300000E+00   -0.1193861741E+00    0.3996373424E+03
       399   -0.1999200000E+00   -0.1171134673E+00    0.3934841530E+03
       400   -0.1887700000E+00   -0.1187312707E+00    0.3978642387E+03
       401   -0.1698600000E+00   -0.1189049037E+00    0.3983343374E+03
       402   -0.2107000000E+00   -0.1050395383E+00    0.3607948629E+03
       403   -0.1697300000E+00   -0.1174055391E+00    0.3942749163E+03
       404   -0.2029200000E+00   -0.1159221557E+00    0.3902587628E+03
       405   -0.1796600000E+00   -0.1169009707E+00    0.3929088338E+03
       406   -0.2563600000E+00   -0.2563255347E+00    0.7703907638E+03
       407    0.4039000000E-01    0.5964962044E-01   -0.8508913154E+02
       408   -0.2090900000E+00   -0.1151826065E+00    0.3882564868E+03
       409   -0.1692800000E+00   -0.1154310302E+00    0.3889290762E+03
       410   -0.1933400000E+00   -0.1140268036E+00    0.3851272341E+03
       411   -0.1868700000E+00   -0.1146828641E+00    0.3869034704E+03
