name    target    f1    f2    f3    f4    f5    f6    iz1    iz2    iz3    iz4    iz5    iz6
bridge-10-136    0.0636    -693.92269    -660.02799    -38.31786    48.51154    169.95572    2815.88565    1.01798    0.78614    0.01052    0.00459    0.04892    231.9453
bridge-10-137    0.03106    -698.39765    -650.48452    38.27722    59.08782    189.53715    2812.79983    0.06624    0.06976    0.01639    0.03055    0.23808    201.6887
bridge-10-138    0.04321    -696.25878    -651.22896    22.20603    54.6016    179.03994    2816.14254    0.28252    0.32718    0.00418    0.02028    0.11737    224.39549
bridge-10-139    0.02868    -700.5988    -652.7584    17.85241    71.50297    214.36845    2803.92902    0.00142    0.1297    0.04777    0.03467    0.58899    114.3956
bridge-10-14    0.0269    -685.91761    -644.30303    -51.3289    81.11434    255.88673    2807.237    0.02197    0.55388    0.03141    0.1503    0.65695    117.05119
bridge-10-140    0.06264    -696.24274    -658.5131    -38.19666    49.90567    169.75623    2815.7845    0.97912    0.75545    0.01025    0.00484    0.05011    232.10233
bridge-10-141    0.02731    -699.38147    -649.3553    37.2621    62.34837    194.92989    2809.20374    0.02408    0.01131    0.02922    0.02745    0.32022    186.35324
bridge-10-142    0.02608    -699.8748    -653.90624    22.6451    70.74643    209.36871    2807.40051    9.70E-05    0.0647    0.04497    0.02892    0.54696    133.4867
bridge-10-143    0.05133    -699.17832    -652.58039    -20.9634    53.70275    173.95393    2814.56382    0.47485    0.55137    0.00552    0.01196    0.08025    230.12076
bridge-10-144    0.06179    -699.00127    -657.52107    -38.19878    51.06992    169.58946    2816.98524    0.92093    0.73657    0.00992    0.00517    0.05176    231.92574
bridge-10-145    0.03613    -700.57353    -651.16646    34.27602    55.08083    184.34314    2813.80034    0.13293    0.18133    0.00686    0.02788    0.18268    213.11949
bridge-10-146    0.04288    -699.66412    -650.66567    20.766    54.34141    178.94838    2816.60032    0.2651    0.33424    0.00416    0.02088    0.1262    222.92489
bridge-10-147    0.02487    -700.88644    -654.60709    32.68038    68.38904    203.94134    2808.08034    4.99E-04    0.01579    0.04796    0.02634    0.45874    152.49257
bridge-10-148    0.06103    -700.71803    -655.98528    -38.35424    52.02705    169.46133    2818.75048    0.85887    0.72015    0.00952    0.00552    0.0539    231.48935
bridge-10-149    0.03096    -701.11999    -650.84074    38.84888    57.00196    189.45703    2812.81847    0.05518    0.091    0.01801    0.02701    0.25203    200.38592
bridge-10-15    0.02853    -688.67037    -645.99504    -62.35528    76.73778    282.22446    2805.49519    0.01335    0.63348    0.03323    0.135    0.79607    97.12259
bridge-10-150    0.05089    -700.91848    -652.00283    -22.53077    53.98826    173.8443    2814.50588    0.46046    0.53122    0.00532    0.01271    0.08568    228.81075
bridge-10-151    0.02524    -701.05055    -652.22569    32.80437    64.75167    199.1016    2810.69501    0.00455    0    0.03993    0.02185    0.40453    169.56681
bridge-10-152    0.0604    -702.51246    -655.42124    -38.69701    52.78792    169.37484    2819.7112    0.78092    0.72373    0.00901    0.00591    0.05643    230.80647
bridge-10-153    0.04131    -703.96341    -659.40992    35.78145    85.43143    237.17194    2803.18671    0.00338    0.21165    0.06002    0.01304    0.65824    60.1656
bridge-10-154    0.07463    -701.76308    -667.95728    -50.61815    44.98165    166.5258    2822.46249    1.62723    0.70069    0.016    0.00165    0.04249    223.65389
bridge-10-155    0.03629    -702.42189    -653.93338    43.4489    72.50645    222.54356    2802.0023    0.00242    0.21567    0.05684    0.01345    0.70718    77.07938
bridge-10-156    0.0735    -703.04954    -666.14623    -50.42048    46.61835    166.3111    2822.24391    1.52948    0.73069    0.01548    0.00166    0.04185    224.71621
bridge-10-157    0.03146    -702.37964    -657.76803    -14.74653    67.30649    214.22166    2804.44699    0.00149    0.16293    0.04561    0.02464    0.62728    95.40118
bridge-10-158    0.07248    -704.44157    -663.61566    -50.26082    48.06466    166.14712    2822.49602    1.44128    0.7434    0.01481    0.00172    0.04165    225.5075
bridge-10-159    0.04264    -703.80289    -650.83691    18.57755    53.91876    178.81927    2816.39721    0.21971    0.35641    0.00389    0.02149    0.13465    221.32581
bridge-10-16    0.02689    -685.0922    -634.74427    -27.99319    80.6781    246.20893    2804.65308    0.01671    0.41141    0.03374    0.15293    0.55562    135.34622
bridge-10-160    0.02731    -702.56414    -650.06054    38.11128    59.90543    194.81451    2810.91527    0.02293    0.02053    0.03293    0.02025    0.33533    185.40613
bridge-10-161    0.05984    -704.88468    -655.49119    -39.24218    53.37732    169.33778    2820.06525    0.70285    0.72692    0.00836    0.00636    0.05919    229.8716
bridge-10-162    0.02916    -702.05036    -654.54714    -12.37836    66.80375    212.44726    2802.87711    6.35E-04    0.09934    0.04586    0.02937    0.58089    113.67775
bridge-10-163    0.03598    -703.96767    -650.75277    33.94206    53.63995    184.16746    2814.31384    0.10649    0.19197    0.00611    0.0283    0.19332    211.72218
bridge-10-164    0.05053    -705.28348    -652.18702    -24.47025    54.11999    173.75916    2815.07145    0.41376    0.53618    0.00492    0.01349    0.09102    227.31497
bridge-10-165    0.07155    -705.758    -661.48055    -50.15093    49.32672    166.03544    2822.55114    1.33319    0.76093    0.01406    0.00182    0.04183    225.98423
bridge-10-166    0.02643    -702.1467    -656.04124    21.38861    67.61589    208.40751    2805.36973    8.02E-04    0.03892    0.05511    0.02054    0.51364    132.75696
bridge-10-167    0.07071    -707.31687    -660.29704    -50.10551    50.41326    165.97919    2822.0246    1.20688    0.78185    0.01322    0.00195    0.0423    226.12713
bridge-10-168    0.03093    -704.46069    -650.51395    39.22248    54.34912    189.20079    2813.2846    0.05374    0.10169    0.01883    0.02465    0.26499    199.12933
bridge-10-169    0.05937    -707.85624    -654.65883    -39.96462    53.83198    169.36475    2820.24605    0.6478    0.70594    0.00752    0.00687    0.06209    228.74926
